country_name,year,gdp,social_support,life_expectancy,freedom,trust,generosity,energy_consumption,total_deaths,happiness_score
Kazakhstan,2015,1.12254,1.12241,0.64368,0.51649,0.08454,0.11827,55,136297,5.855
Poland,2015,1.12555,1.27948,0.77903,0.53122,0.04212,0.16759,96,381141,5.791
Malaysia,2015,1.12486,1.07023,0.72394,0.53024,0.10501,0.33075,85,137283,5.77
Russia,2015,1.13764,1.23617,0.66926,0.36679,0.03005,0.00199,693,1822318,5.716
Algeria,2015,0.93929,1.07772,0.61766,0.28579,0.17383,0.07822,56,157563,5.605
Indonesia,2015,0.82827,1.08708,0.63793,0.46611,0,0.51535,204,1516679,5.399
Turkey,2015,1.06098,0.94632,0.73172,0.22815,0.15746,0.12253,129,397731,5.332
Nigeria,2015,0.65435,0.90432,0.16007,0.34334,0.0403,0.27233,145,687396,5.268
China,2015,0.89012,0.94675,0.81658,0.51697,0.02781,0.08185,2994,9405024,5.14
Romania,2015,1.04345,0.88588,0.7689,0.35068,0.00649,0.13748,32,256802,5.124
Portugal,2015,1.15991,1.13935,0.87519,0.51469,0.01078,0.13719,22,103294,5.102
Iran,2015,1.0088,0.54447,0.69805,0.30033,0.05863,0.38086,238,328196,4.686
Ukraine,2015,0.79907,1.20278,0.6739,0.25123,0.02961,0.15275,93,712454,4.681
South Africa,2015,0.92049,1.18468,0.27688,0.33207,0.08884,0.11973,129,494069,4.642
India,2015,0.64499,0.38174,0.51529,0.39786,0.08492,0.26475,835,7252338,4.565
Egypt,2015,0.8818,0.747,0.61712,0.17288,0.06324,0.11291,81,534370,4.194
Norway,2016,1.57744,1.1269,0.79579,0.59609,0.35776,0.37895,29,37816,7.498
Canada,2016,1.44015,1.0961,0.8276,0.5737,0.31329,0.44834,287,246260,7.404
Netherlands,2016,1.46468,1.02912,0.81231,0.55211,0.29927,0.47416,74,137715,7.339
New Zealand,2016,1.36066,1.17278,0.83096,0.58147,0.41904,0.49401,21,29574,7.334
Australia,2016,1.44443,1.10476,0.8512,0.56837,0.32331,0.47407,127,145807,7.313
Sweden,2016,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,48,87096,7.291
United States,2016,1.50796,1.04782,0.779,0.48163,0.14868,0.41077,2168,2635030,7.104
Germany,2016,1.44787,1.09774,0.81487,0.53466,0.28551,0.30452,310,894538,6.994
Brazil,2016,1.08754,1.03938,0.61415,0.40425,0.14166,0.15776,287,1221856,6.952
Belgium,2016,1.42539,1.05249,0.81959,0.51354,0.26248,0.2424,56,102321,6.929
Mexico,2016,1.11508,0.7146,0.71143,0.37709,0.18355,0.11735,185,633020,6.778
United Kingdom,2016,1.40283,1.08672,0.80991,0.50036,0.27399,0.50156,179,559781,6.725
Chile,2016,1.2167,0.90587,0.81883,0.37789,0.11451,0.31595,38,99793,6.705
Argentina,2016,1.15137,1.06612,0.69711,0.42284,0.07296,0.10989,82,324887,6.65
United Arab Emirates,2016,1.57352,0.87114,0.72993,0.56215,0.35561,0.26591,79,21889,6.573
Colombia,2016,1.03032,1.02169,0.59659,0.44735,0.05399,0.15626,42,205686,6.481
France,2016,1.39488,1.00508,0.83795,0.46562,0.17808,0.1216,248,525637,6.478
Thailand,2016,1.0893,1.04477,0.64915,0.49553,0.02833,0.58696,139,438372,6.474
Saudi Arabia,2016,1.48953,0.84829,0.59267,0.37904,0.30008,0.15457,215,105004,6.379
Taiwan,2016,1.39729,0.92624,0.79565,0.32377,0.0663,0.25495,109,168543,6.379
Spain,2016,1.34253,1.12945,0.87896,0.37545,0.06137,0.17665,118,391546,6.361
Algeria,2016,1.05266,0.83309,0.61804,0.21006,0.16157,0.07044,56,161415,6.355
Kuwait,2016,1.61714,0.87758,0.63569,0.43166,0.23669,0.15965,36,7582,6.239
Venezuela,2016,1.13367,1.03302,0.61904,0.19847,0.08304,0.0425,59,151730,6.084
Malaysia,2016,1.25142,0.88025,0.62366,0.39031,0.09081,0.41474,88,144866,6.005
Uzbekistan,2016,0.73591,1.1681,0.50163,0.60848,0.28333,0.34326,42,186205,5.987
Italy,2016,1.35495,1.04167,0.85102,0.18827,0.02556,0.16684,151,588853,5.977
Japan,2016,1.38007,1.06054,0.91491,0.46761,0.18985,0.10224,429,1282905,5.921
Kazakhstan,2016,1.22943,0.95544,0.57386,0.4052,0.11132,0.15011,64,135840,5.919
Russia,2016,1.23228,1.05261,0.58991,0.32682,0.03586,0.02736,714,1802111,5.856
Poland,2016,1.24585,1.04685,0.69058,0.4519,0.055,0.14443,100,381410,5.835
South Korea,2016,1.35948,0.72194,0.88645,0.25168,0.07716,0.18824,293,272952,5.835
Romania,2016,1.1697,0.72803,0.67602,0.36712,0.00679,0.12889,32,258464,5.528
Turkey,2016,1.16492,0.87717,0.64718,0.23889,0.12348,0.04707,137,406786,5.389
Indonesia,2016,0.95104,0.87625,0.49374,0.39237,0.00322,0.56521,209,1543731,5.314
China,2016,1.0278,0.79381,0.73561,0.44012,0.02745,0.04959,2977,9629257,5.245
Portugal,2016,1.27607,0.94367,0.79363,0.44727,0.01521,0.11691,22,105741,5.123
Nigeria,2016,0.75216,0.64498,0.05108,0.27854,0.0305,0.23219,150,697326,4.875
Iran,2016,1.11758,0.38857,0.64232,0.22544,0.0557,0.38538,246,337099,4.813
South Africa,2016,1.02416,0.96053,0.18611,0.42483,0.08415,0.13656,135,498784,4.459
India,2016,0.74036,0.29247,0.45091,0.40285,0.08722,0.25028,852,7369810,4.404
Egypt,2016,0.95395,0.49813,0.52116,0.18847,0.10393,0.12706,88,546556,4.362
Ukraine,2016,0.87287,1.01413,0.58628,0.12859,0.01829,0.20363,92,693156,4.324
Norway,2017,1.61646,1.53352,0.796667,0.635423,0.315964,0.362012,30,37510,7.537
Netherlands,2017,1.50394,1.42894,0.810696,0.585384,0.282662,0.47049,74,140572,7.377
Canada,2017,1.4792,1.48135,0.834558,0.611101,0.287372,0.43554,295,252139,7.316
New Zealand,2017,1.40571,1.5482,0.81676,0.614062,0.382817,0.500005,21,30102,7.314
Sweden,2017,1.49439,1.47816,0.830875,0.612924,0.384399,0.385399,49,88020,7.284
Australia,2017,1.48441,1.51004,0.843887,0.601607,0.301184,0.477699,128,149529,7.284
United States,2017,1.54626,1.41992,0.774287,0.505741,0.135639,0.392579,2161,2659875,6.993
Germany,2017,1.48792,1.47252,0.798951,0.562511,0.276732,0.336269,311,897693,6.951
Belgium,2017,1.46378,1.46231,0.818092,0.539771,0.251343,0.231503,55,103890,6.891
United Kingdom,2017,1.44163,1.49646,0.805336,0.50819,0.265428,0.492774,176,564382,6.714
Chile,2017,1.25278,1.28402,0.81948,0.376895,0.082288,0.326662,38,103803,6.652
United Arab Emirates,2017,1.62634,1.26641,0.726798,0.608345,0.32449,0.360942,78,23436,6.648
Brazil,2017,1.10735,1.43131,0.616552,0.437454,0.111093,0.16235,292,1228688,6.635
Argentina,2017,1.1853,1.44045,0.695137,0.494519,0.0597399,0.109457,82,329228,6.599
Mexico,2017,1.15318,1.21086,0.709979,0.41273,0.132774,0.12099,180,670012,6.578
France,2017,1.43092,1.38778,0.844466,0.470222,0.172502,0.129762,247,539473,6.442
Thailand,2017,1.12787,1.42579,0.647239,0.580201,0.0316127,0.572123,139,451355,6.424
Spain,2017,1.3844,1.53209,0.888961,0.408781,0.0709141,0.190134,125,397052,6.403
Colombia,2017,1.07062,1.40218,0.595028,0.477487,0.0466687,0.149014,40,212543,6.357
Saudi Arabia,2017,1.53062,1.28668,0.590148,0.449751,0.273432,0.147616,219,108000,6.344
Kuwait,2017,1.63295,1.2597,0.632106,0.496338,0.21516,0.22829,34,8063,6.105
Malaysia,2017,1.29122,1.28465,0.618784,0.402265,0.0656007,0.416609,85,150267,6.084
Poland,2017,1.29179,1.44571,0.699475,0.520342,0.0593078,0.158466,104,386552,5.973
Uzbekistan,2017,0.786441,1.54897,0.498273,0.658249,0.246528,0.415984,44,188257,5.971
Italy,2017,1.39507,1.44492,0.853144,0.256451,0.0280281,0.17279,154,596906,5.964
Russia,2017,1.28178,1.46928,0.547349,0.373783,0.0329629,0.0522638,729,1727738,5.963
Japan,2017,1.41692,1.43634,0.913476,0.505626,0.163761,0.120573,434,1297797,5.92
Algeria,2017,1.09186,1.14622,0.617585,0.233336,0.146096,0.0694366,57,166379,5.872
South Korea,2017,1.40168,1.12827,0.900214,0.257922,0.0632827,0.206674,295,286369,5.838
Romania,2017,1.21768,1.15009,0.685158,0.457004,0.0043879,0.13352,33,261082,5.825
Kazakhstan,2017,1.28456,1.38437,0.606042,0.437454,0.119283,0.201964,66,134878,5.819
Turkey,2017,1.19827,1.33775,0.637606,0.300741,0.0996716,0.046693,147,416146,5.5
China,2017,1.08117,1.16084,0.741416,0.472788,0.0227943,0.0288068,3070,9810244,5.273
Indonesia,2017,0.995539,1.27444,0.492346,0.443323,0.0153171,0.611705,222,1571139,5.262
Venezuela,2017,1.12843,1.43134,0.617144,0.153997,0.0644911,0.0650196,56,156104,5.25
Portugal,2017,1.31518,1.36704,0.795844,0.498465,0.0158695,0.0951027,23,108098,5.195
Nigeria,2017,0.783756,1.21577,0.0569157,0.394953,0.0261216,0.230947,152,709883,5.074
South Africa,2017,1.0547,1.38479,0.18708,0.479247,0.0725095,0.139362,136,497193,4.829
Egypt,2017,0.989702,0.997471,0.520187,0.28211,0.114381,0.128631,93,548396,4.735
Iran,2017,1.15687,0.711551,0.639333,0.249323,0.0487611,0.387243,262,346477,4.692
India,2017,0.792221,0.754373,0.455428,0.469987,0.0922269,0.231538,883,7538044,4.315
Ukraine,2017,0.894652,1.39454,0.575904,0.122975,0.0230295,0.270061,89,689367,4.096
Norway,2018,1.456,1.582,0.861,0.686,0.34,0.286,29,38144,7.594
Netherlands,2018,1.361,1.488,0.878,0.638,0.295,0.333,73,143602,7.441
Canada,2018,1.33,1.532,0.896,0.653,0.291,0.321,298,264546,7.328
New Zealand,2018,1.268,1.601,0.876,0.669,0.389,0.365,20,31656,7.324
Sweden,2018,1.355,1.501,0.913,0.659,0.383,0.285,50,88838,7.314
Australia,2018,1.34,1.573,0.91,0.647,0.302,0.361,128,155427,7.272
United Kingdom,2018,1.244,1.433,0.888,0.464,0.082,0.262,175,581598,7.19
China,2018,0.989,1.142,0.799,0.597,0.103,0.029,3201,10010858,5.246
Germany,2018,1.34,1.474,0.861,0.586,0.28,0.273,302,909962,6.965
